구분,유통사,사업자명,사업자등록번호,7월 상품명,7월 판매건수,7월 매출액,7월 판촉액(쿠폰),8월 누적데이터 상태,원인 분석
농산물,네이버,주식회사 시즌드시즌,677-87-02304,"[시즌드시즌 실속형 틴케이스 15TB] 카페인없는차_봄, 여름, 가을, 겨울_프리미엄 티하우스 시즌드시즌 '사계'티 [원산지:상세설명에 표시]",2,58000,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,소유농장,208-22-52837,"국산 무농약 상황버섯진액 GAP인증 버섯즙 부모님선물 효도선물 25포, 1개 [원산지:국산(전라남도 고흥군)]",2,58000,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,주식회사 드림엘링크,562-81-04158,이기순 명인의 순 맛김치 2kg 국산 배추 국내산 맛집 주문 절단 썰은김치 프리미엄 [원산지:국산],4,55000,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,농업회사법인(주)새나라,792-88-00316,국내산 냉동 닭고기 닭목살 1kg 생닭목살구이 닭특수부위 [원산지:국산],6,53440,6690,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,예다움곶감,540-96-00855,예다움 상주 곶감 정3호 가정의달 부모님 상견례 선물세트 반건시 크림치즈호두말이 30과 [원산지:상세설명에 표시],1,42800,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,예다움곶감,540-96-00855,예다움 상주 곶감 반건시 정2호 명절 가정의달 부모님 상견례 선물세트 30과 [원산지:국산(경상북도 상주시)],1,42300,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,(주)한마당,670-81-01262,[오동리 메밀면콩국수]파주장단콩과 글루텐프리 국산 100%메밀숙면(660g 콩물실온보관) [원산지:국산(경기도 파주시)],2,42000,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,(주)한마당,670-81-01262,[오동리 건강한팥물]국내산 팥으로 만든 항산성UP 무설탕 무소금 팥물(상온보관 500ml) [원산지:국산],2,36500,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,농업회사법인 유한회사 해오름팜농장,209-87-01228,농부가바로팜 무항생제 동물복지 유정란 유구 혼합 60구 신선계란 난각번호2번 [원산지:국산(전라남도 나주시)],1,35000,7000,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,농업회사법인 랑이네세상 주식회사,488-88-03205,200g 낱개 25년 고시히카리 햅쌀 /당일도정 특등급/소포장 선물 캠핑용 [원산지:국산(인천광역시 강화군)],2,30000,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,주식회사 드림엘링크,562-81-04158,이기순 명인의 순 총각김치 2kg 국산 총각무 국내산 맛집 주문 무청 알타리 아삭 프리미엄 [원산지:국산],2,29600,2960,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,농업회사법인 랑이네세상 주식회사,488-88-03205,100g 7개입/25년 고시히카리 햅쌀 랑이네갓도정쌀 /소포장 선물 캠핑용 당일도정 특등급 [원산지:국산(인천광역시 강화군)],2,25700,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,짱아찌네농장,280-90-00306,"당일수확 농장직송 생바질 스위트 식용허브 100g, 1개 [원산지:국산(경기도 양평군)]",1,4500,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,농업회사법인 곤충킹주식회사,268-86-01730,고단백 고소애 초코칩쿠키(1개) 프로틴 간식 식용 곤충 밀웜 쿠키 어린이 영양간식 [원산지:국산(경기도)],1,4000,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
